equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,destroyed by Bayraktar TB2 and Harpoon AShM,sunk
"Trucks, Vehicles and Jeeps",Ural Federal,,Russia,17,1.0,,4.0,,,,,,,,12.0,,,
"Trucks, Vehicles and Jeeps",Ural-5323,,Russia,3,,,2.0,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Ural-63704-0010 Tornado-U,,Russia,6,1.0,,4.0,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Ural-542301 tank transporter,,Russia,2,1.0,,1.0,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",MAZ TZ-500 tanker,,the Soviet Union,1,,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",KamAZ 4x4,,Russia,10,1.0,,3.0,,,,,,,,6.0,,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,,Russia,379,16.0,,68.0,,,4.0,2.0,12.0,,,274.0,3.0,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,with ZU-23 AA gun,Russia,4,,,3.0,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6 tanker,,Russia,71,2.0,,23.0,,,4.0,,2.0,,,40.0,,,
"Trucks, Vehicles and Jeeps",KamAZ 8x8,,Russia,11,,,1.0,,,,,,,,10.0,,,
"Trucks, Vehicles and Jeeps",KamAZ Avtozaks,,Russia,24,1.0,,5.0,,,,,1.0,,,17.0,,,
"Trucks, Vehicles and Jeeps",KamAZ-5350 with armoured cab,,Russia,7,,,6.0,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",KamAZ with MM-501 armoured cabin,,Russia,9,2.0,,3.0,,,,,,,,4.0,,,
"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8 artillery tractor,,Russia,7,,,,,,,,,,2.0,3.0,2.0,,
"Trucks, Vehicles and Jeeps",Civilian KamAZ 6x6 converted for military use,,Russia,3,,,2.0,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",UAZ-469 jeep,,the Soviet Union,7,1.0,,2.0,,,,,1.0,,,3.0,,,
"Trucks, Vehicles and Jeeps",UAZ-452 van,,the Soviet Union,11,,,1.0,,,1.0,1.0,1.0,,,7.0,,,
"Trucks, Vehicles and Jeeps",UAZ Patriot jeep,,Russia,2,,,,,,,,,,,2.0,,,
"Trucks, Vehicles and Jeeps",UAZ-23632 pickup truck,,Russia,3,,,3.0,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-23632-148-64 armed pickup truck,,Russia,2,,,,,,,,,,,2.0,,,
"Trucks, Vehicles and Jeeps",Toyota Hilux pickup truck,,Japan,1,,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",UAZ-394511 ‘Esaul’,,Russia,5,,,,,,,,2.0,,,3.0,,,
"Trucks, Vehicles and Jeeps",UAZ-515195 'Esaul',,Russia,1,,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",(Unknown) truck,,Russia,275,1.0,,9.0,1.0,,7.0,2.0,,,,246.0,9.0,,
"Trucks, Vehicles and Jeeps",(Unknown) vehicle,,Russia,44,,,1.0,,,6.0,,,,,37.0,,,
